CATEGORY,,INDEPENDENT VARIABLES,,,,,,,DEPENDENT VARIABLES,,,,
Dates,Entity ID,Log Board_Size,PCT_IND_DIR,PCT_Women_On_Board,CEO_DUALITY,Log_Audit_Comm,BOARD_AVERAGE_TENURE,EQY_INST_PCT_SH_OUT,TOT_DEBT_TO_TOT_EQY,RETURN_ON_ASSET,RETURN_COM_EQY,EPS_GROWTH,TOBIN_Q_RATIO
1,13,2.079,0.875,0.25,0,1.609437912,5.69,1.12007,0.737712,0.026338,0.048839,2.307692,0.022144
2,13,2.079,0.875,0.25,0,1.386294361,6.69,1.10312,0.930113,0.026679,0.049623,0.046512,0.019109
3,13,2.197,0.889,0.333,0,1.386294361,6.89,1.13593,0.967627,0.038257,0.08177,0.644444,0.020269
4,13,2.079,0.875,0.375,0,1.386294361,7.09,1.17274,0.985796,0.044912,0.098172,0.202703,0.019751
5,13,2.079,0.875,0.375,0,1.386294361,8.09,1.0548,1.058163,0.043461,0.09639,0,0.020656
6,13,2.079,0.875,0.375,0,1.386294361,9.09,1.11226,1.188306,0.037608,0.091212,-0.044944,0.020051
7,13,2.079,0.875,0.375,0,1.386294361,10.09,0.963,1.089123,0.039463,0.095022,0.294118,0.025076
8,13,2.197,0.889,0.333,0,1.386294361,8.2,1.05283,1.073432,0.045249,0.102238,0.172727,0.019823
1,14,2.079,0.875,0.25,0,1.098612289,8.59,1.03519,0.426995,0.047701,0.074783,2.666667,0.011199
2,14,2.079,0.875,0.25,0,1.386294361,4.75,0.76406,0.54924,0.023381,0.03829,-0.454545,0.012156
3,14,2.079,0.875,0.375,1,1.609437912,6.31,1.14681,0.386968,0.05164,0.082963,1.166667,0.012664
4,14,2.079,0.875,0.25,1,1.609437912,7.13,1.11966,0.376643,0.018959,0.028661,-0.639423,0.011356
5,14,2.303,0.7,0.2,0,1.609437912,6.38,1.04198,0.502046,0.026628,0.042273,0.56,0.012362
6,14,2.079,0.75,0.25,0,1.609437912,5.8,1.05214,0.481081,0.033282,0.053776,0.367521,0.010717
7,14,2.197,0.778,0.333,0,1.386294361,5.57,1.10636,0.486373,0.03864,0.061676,0.16875,0.011945
8,14,2.197,0.889,0.333,0,1.386294361,6.57,1.01831,0.502395,0.022465,0.036289,-0.406417,0.008945
1,15,2.079,0.625,0.125,0,1.098612289,6.94,1.04009,1.582818,0.009727,0.030175,0.288026,0.014376
2,15,2.197,0.667,0.111,0,1.098612289,7.16,1.06779,1.449713,0.012485,0.044393,0.429648,0.014753
3,15,2.197,0.667,0.111,0,1.098612289,8.16,1.00823,1.055187,0.011875,0.043336,0.019332,0.015456
4,15,2.197,0.667,0.111,0,1.098612289,9.16,0.99734,1.074212,0.014025,0.047971,0.172414,0.014124
5,15,2.303,0.7,0.2,0,1.098612289,9.18,1.04562,1.059256,0.041305,0.142231,2.073529,0.015334
6,15,2.303,0.7,0.2,0,1.098612289,10.18,1.02126,1.190144,0.005422,0.019584,-0.866029,0.0129
7,15,2.303,0.7,0.3,0,1.098612289,10.23,1.02586,1.25997,0.007016,0.026897,0.321429,0.013703
8,15,2.398,0.727,0.273,0,1.098612289,10.05,1.03052,1.216793,0.010171,0.039026,0.486486,0.010199
1,16,1.946,0.857,0.143,0,1.098612289,7.04,1.1085,1.308109,0.028286,0.072479,0.57,0.016903
2,16,2.197,0.889,0.111,0,1.386294361,6.35,1.18722,1.137621,0.036051,0.092072,0.407643,0.019495
